sep=\t
Module Resource Usage Distribution Estimates
Generated at: Nov 14, 2023 09:32:33

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        SRLs	        ADDs	        LUTs	    COMB4s	      RAMs	 DSP/MULTs
example_top:example_top                                     	  6478(152)	     589(0)	   2433(47)	 10446(769)	     0(0)	   151(0)	    32(0)	
 +rst_n_piple_inst:rst_n_piple                              	       3(3)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
 +rst_n_hdmi_rx_slow_clk:rst_n_piple                        	       3(3)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
 +u_hdmi_rx:hdmi_rx                                         	     96(33)	       0(0)	     38(31)	     87(41)	     0(0)	     1(0)	     0(0)	
  +u_I2Cslave_edid:I2Cslave(I2C_ADDR=7'b1010000)            	     63(63)	       0(0)	       7(7)	     46(46)	     0(0)	     0(0)	     0(0)	
  +u_simple_dual_port_ram:simple_dual_port_ram(RAM_INIT_FILE="./ram_init_file.inithex")	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
 +u_dvi_decoder:dvi_decoder                                 	     429(1)	       0(0)	     192(0)	     367(0)	     0(0)	     3(0)	     0(0)	
  +u_tmds_decoder_0:tmds_decoder(kCtlTknCount=300)          	     143(0)	       0(0)	      64(0)	     122(0)	     0(0)	     1(0)	     0(0)	
   +u_bitslip:frame_bitslip                                 	     35(35)	       0(0)	       0(0)	     57(57)	     0(0)	     0(0)	     0(0)	
   +u_phasealgin:phasealign_v1                              	     84(84)	       0(0)	     64(64)	     31(31)	     0(0)	     0(0)	     0(0)	
   +u_decoder:decoder                                       	       8(8)	       0(0)	       0(0)	     16(16)	     0(0)	     0(0)	     0(0)	
   +u_channelbond:channelbond                               	     16(16)	       0(0)	       0(0)	     18(18)	     0(0)	     1(0)	     0(0)	
    +u_simple_dual_port_ram:simple_dual_port_ram(DATA_WIDTH=10,ADDR_WIDTH=4)	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
  +u_tmds_decoder_1:tmds_decoder(kCtlTknCount=300)          	     144(0)	       0(0)	      64(0)	     124(0)	     0(0)	     1(0)	     0(0)	
   +u_bitslip:frame_bitslip                                 	     35(35)	       0(0)	       0(0)	     56(56)	     0(0)	     0(0)	     0(0)	
   +u_phasealgin:phasealign_v1                              	     84(84)	       0(0)	     64(64)	     32(32)	     0(0)	     0(0)	     0(0)	
   +u_decoder:decoder                                       	     11(11)	       0(0)	       0(0)	     20(20)	     0(0)	     0(0)	     0(0)	
   +u_channelbond:channelbond                               	     14(14)	       0(0)	       0(0)	     16(16)	     0(0)	     1(0)	     0(0)	
    +u_simple_dual_port_ram:simple_dual_port_ram(DATA_WIDTH=10,ADDR_WIDTH=4)	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
  +u_tmds_decoder_2:tmds_decoder(kCtlTknCount=300)          	     141(0)	       0(0)	      64(0)	     121(0)	     0(0)	     1(0)	     0(0)	
   +u_bitslip:frame_bitslip                                 	     35(35)	       0(0)	       0(0)	     56(56)	     0(0)	     0(0)	     0(0)	
   +u_phasealgin:phasealign_v1                              	     84(84)	       0(0)	     64(64)	     31(31)	     0(0)	     0(0)	     0(0)	
   +u_decoder:decoder                                       	       8(8)	       0(0)	       0(0)	     17(17)	     0(0)	     0(0)	     0(0)	
   +u_channelbond:channelbond                               	     14(14)	       0(0)	       0(0)	     17(17)	     0(0)	     1(0)	     0(0)	
    +u_simple_dual_port_ram:simple_dual_port_ram(DATA_WIDTH=10,ADDR_WIDTH=4)	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
 +dvi_encoder_m0:dvi_encoder                                	     216(0)	       0(0)	     162(0)	     196(0)	     0(0)	     0(0)	     0(0)	
  +encb:encode                                              	     47(47)	       0(0)	     54(54)	     55(55)	     0(0)	     0(0)	     0(0)	
  +encr:encode                                              	     43(43)	       0(0)	     54(54)	     54(54)	     0(0)	     0(0)	     0(0)	
  +encg:encode                                              	     41(41)	       0(0)	     54(54)	     54(54)	     0(0)	     0(0)	     0(0)	
  +serdes_4b_10to1_m0:serdes_4b_10to1                       	     85(85)	       0(0)	       0(0)	     33(33)	     0(0)	     0(0)	     0(0)	
 +inst_ddr3_axi:efx_ddr3_axi                                	  2173(321)	     492(0)	   451(128)	  2501(500)	     0(0)	    27(0)	     0(0)	
  +inst_arburst_fifo:Ddr_Ctrl_Sc_Fifo(DATA_WIDTH=8,DATA_DEPTH=32)	       8(8)	       8(8)	     12(12)	     22(22)	     0(0)	     0(0)	     0(0)	
  +u_rd_addr_fifo:Ddr_Ctrl_Sc_Fifo(DATA_DEPTH=32)           	       8(8)	   116(116)	     12(12)	     75(75)	     0(0)	     0(0)	     0(0)	
